"event_id","year","longitude","latitude","fatalities","event_type"
5088,1993,3.050556,36.763056,3,"state-based"
3069,1993,1.9025,36.570556,3,"state-based"
4263,1993,3.017715,36.789885,2,"state-based"
3915,1993,3.666667,36.75,3,"state-based"
3670,1993,3,36.583333,2,"state-based"
6603,1993,-1.315,34.878333,7,"state-based"
4352,1993,2.749048,35.888887,2,"state-based"
2137,1993,8.060239,34.744877,4,"state-based"
5725,1993,2.689912,36.46695,4,"state-based"
3537,1993,3.087845,36.728291,1,"state-based"
2700,1993,2.625278,36.470102,1,"state-based"
1551,1993,2.166667,36.166667,1,"state-based"
3759,1993,3,36.583333,3,"state-based"
4823,1993,6.178611,35.555278,2,"state-based"
4648,1993,2.916667,36.566667,3,"state-based"
5400,1993,3.056935,36.777328,1,"state-based"
5909,1993,0.918959,35.961242,1,"state-based"
4240,1993,3.050556,36.763056,2,"state-based"
4155,1993,2.827699,36.470039,1,"state-based"
1605,1993,3,28,2,"state-based"
4055,1993,3.066667,36.666667,1,"state-based"
3682,1993,3.05,36.75,4,"state-based"
5650,1993,3.474819,36.758965,4,"state-based"
2082,1993,3,36.583333,1,"state-based"
3827,1993,3.474819,36.758965,5,"state-based"
4924,1993,3.147205,36.65396,1,"state-based"
5169,1993,0.333333,34.666667,3,"state-based"
4996,1993,3,36.583333,1,"state-based"
3926,1993,3.666667,36.75,2,"state-based"
3570,1993,3.050556,36.763056,1,"state-based"
3455,1993,2.975035,36.779139,3,"state-based"
5625,1993,2.916667,36.566667,4,"state-based"
4494,1993,-0.630846,35.189937,2,"state-based"
5919,1993,3,36.583333,1,"state-based"
3541,1993,3.050556,36.763056,6,"state-based"
6443,1993,3.050556,36.763056,2,"state-based"
4150,1993,3,36.583333,3,"state-based"
2451,1993,3.050556,36.763056,10,"state-based"
6496,1993,6.050386,35.882508,3,"state-based"
3088,1993,5.4825,36.674444,3,"state-based"
2154,1993,3.050556,36.763056,1,"state-based"
4748,1993,3.050556,36.763056,1,"state-based"
5021,1993,4.916667,36.666667,3,"state-based"
3925,1993,4.916667,36.666667,2,"state-based"
4265,1993,3.052174,36.79239,1,"state-based"
5208,1993,3,36.583333,1,"state-based"
3854,1993,3.593296,36.564634,13,"state-based"
5988,1993,3.096064,36.666546,1,"state-based"
3565,1993,-0.6,35.683333,1,"state-based"
1638,1993,6.614722,36.365,1,"state-based"
3901,1993,3.405545,36.771873,1,"state-based"
4250,1993,2.912142,36.574125,1,"state-based"
6362,1993,3,36.583333,5,"state-based"
3019,1993,6,36.75,2,"state-based"
3857,1993,3.080998,36.541779,7,"state-based"
1537,1993,2.433333,36.583333,11,"state-based"
2514,1993,4.045914,36.711825,1,"state-based"
5757,1993,3.666667,36.75,4,"state-based"
3957,1993,3.888458,36.640553,3,"state-based"
5101,1993,3.717296,36.743276,4,"state-based"
3964,1993,-1.083333,35.333333,2,"state-based"
5369,1993,3,36.583333,6,"state-based"
6574,1993,7.426076,36.462136,2,"state-based"
2919,1993,2.753926,36.264169,1,"state-based"
3662,1993,3.240322,36.731469,6,"state-based"
4220,1993,3.050556,36.763056,2,"state-based"
2299,1993,7.143333,35.435833,3,"state-based"
3573,1993,-0.633333,35.2,1,"state-based"
3424,1993,6.614722,36.365,1,"state-based"
2564,1993,0.089177,35.931151,1,"state-based"
4555,1993,1.24802,36.177872,1,"state-based"
4878,1993,3.050556,36.763056,2,"state-based"
2352,1993,2.842441,36.711688,1,"state-based"
1556,1993,2.827699,36.470039,1,"state-based"
4940,1993,3.474819,36.758965,1,"state-based"
1512,1993,-0.641667,35.691111,1,"state-based"
3730,1993,5.766667,36.8,4,"state-based"
5908,1993,1.533333,36.183333,4,"state-based"
2274,1993,3.15,36.566667,5,"state-based"
4598,1993,6.264444,36.450278,3,"state-based"
4414,1993,6.9,36.866667,4,"state-based"
6548,1993,6.655654,36.67681,7,"state-based"
6234,1993,3.431941,36.601233,17,"state-based"
5038,1993,6.576389,36.382778,7,"state-based"
4330,1993,3,36.583333,1,"state-based"
1943,1993,3.901389,36.38,2,"state-based"
5636,1993,2.476705,36.370698,1,"state-based"
5356,1993,0.089177,35.931151,5,"state-based"
5082,1993,3.124631,36.736541,1,"state-based"
4580,1993,3.474819,36.758965,5,"state-based"
3844,1993,4.045914,36.711825,2,"state-based"
3584,1993,0.555987,35.737344,2,"state-based"
6606,1993,-1.416667,34.666666,6,"state-based"
5849,1993,6,36.75,4,"state-based"
3264,1993,1.967897,36.264055,5,"state-based"
3804,1993,0.15,34.833333,1,"state-based"
2546,1993,5.766667,36.8,4,"state-based"
3875,1993,2.827699,36.470039,1,"state-based"
4462,1993,6.614722,36.365,1,"state-based"
1913,1993,3.050556,36.763056,4,"state-based"
1521,1993,6.614722,36.365,1,"state-based"
5660,1993,2.901068,36.069676,1,"state-based"
5564,1993,3.720502,36.877757,3,"state-based"
5028,1993,2.75,36.266667,6,"state-based"
3840,1993,6.9,36.866667,7,"state-based"
4225,1993,1.308086,36.510757,1,"state-based"
4638,1993,6.500519,36.817562,1,"state-based"
1509,1993,2.827699,36.470039,1,"state-based"
1808,1993,3,28,10,"state-based"
2741,1993,3.145,36.720278,0,"state-based"
3476,1993,6.666667,36.333333,5,"state-based"
5367,1993,2.827699,36.470039,1,"state-based"
5389,1993,5.166667,36.666667,1,"state-based"
2642,1993,3.080998,36.541779,3,"state-based"
5022,1993,3,36.583333,13,"state-based"
1528,1993,2.75,36.266667,2,"state-based"
3257,1993,6.9,36.866667,2,"state-based"
5252,1993,-0.641667,35.691111,1,"state-based"
5814,1993,3.024616,36.704563,1,"state-based"
2262,1993,3.087832,36.606366,8,"state-based"
1608,1993,3.666667,32.483333,12,"state-based"
5425,1993,7.757222,36.9075,1,"state-based"
3923,1993,-1.315,34.878333,2,"state-based"
3628,1993,3,36.08,3,"state-based"
6282,1993,3.901389,36.38,1,"state-based"
4855,1993,3,28,15,"state-based"
3020,1993,3.050556,36.763056,1,"state-based"
3908,1993,3,28,9,"state-based"
2318,1993,7.757222,36.9075,5,"state-based"
6527,1993,3,36.08,1,"state-based"
1988,1993,2.742172,36.662115,1,"state-based"
4427,1993,3,36.583333,2,"state-based"
4493,1993,3,36.083333,2,"state-based"
6315,1993,3.166667,36.75,1,"state-based"
3507,1993,3.666667,36.75,1,"state-based"
3438,1993,5.916667,35.5,1,"state-based"
2544,1994,-0.641667,35.691111,1,"state-based"
2345,1994,0.918959,35.961242,1,"state-based"
4156,1994,-0.641667,35.691111,5,"state-based"
3954,1994,-1.133333,35.3,1,"state-based"
4794,1994,1.313056,35.375833,1,"state-based"
3515,1994,6.15,36.8,1,"state-based"
3978,1994,3.050556,36.763056,1,"state-based"
4431,1994,3.087845,36.728291,4,"state-based"
3391,1994,1.75,35.75,2,"state-based"
3563,1994,3.474819,36.758965,1,"state-based"
2819,1994,3,28,3,"state-based"
5131,1994,3.405545,36.771873,1,"state-based"
4826,1994,3.666667,32.483333,2,"state-based"
4743,1994,5.766667,36.8,2,"state-based"
6495,1994,3.901389,36.38,1,"state-based"
3683,1994,-0.6,35.683333,1,"state-based"
3294,1994,3.096064,36.666546,6,"state-based"
5439,1994,0.166666,34.666666,8,"state-based"
3948,1994,1.967897,36.264055,4,"state-based"
5324,1994,3.050556,36.763056,4,"state-based"
6253,1994,3,36.583333,1,"state-based"
5614,1994,3.050556,36.763056,1,"state-based"
2341,1994,3.056935,36.777328,2,"state-based"
1596,1994,3.593296,36.564634,1,"state-based"
1583,1994,5.409444,36.191389,7,"state-based"
1540,1994,1.25,36.25,1,"state-based"
1752,1994,4.25,36.75,2,"state-based"
4326,1994,3.050556,36.763056,2,"state-based"
5879,1994,3,36.083333,2,"state-based"
1579,1994,-0.641667,35.691111,3,"state-based"
6608,1994,6.9,36.866667,2,"state-based"
3590,1994,7.416667,36.416667,6,"state-based"
3422,1994,1.967897,36.264055,2,"state-based"
4019,1994,2.827699,36.470039,2,"state-based"
3809,1994,5.766667,36.8,2,"state-based"
6624,1994,7.757222,36.9075,2,"state-based"
5714,1994,3.124631,36.736541,1,"state-based"
5689,1994,-0.641667,35.691111,2,"state-based"
6187,1994,-0.45,35.55,3,"state-based"
4418,1994,3.166667,36.75,2,"state-based"
1559,1994,2.416667,36.583333,2,"state-based"
1950,1994,1.583333,34.916667,2,"state-based"
5863,1994,3.145,36.720278,4,"state-based"
3328,1994,3.166667,36.75,3,"state-based"
3105,1994,6,36.75,2,"state-based"
1821,1994,3.050556,36.763056,2,"state-based"
4336,1994,3,36.083333,3,"state-based"
5084,1994,7.757222,36.9075,4,"state-based"
3803,1994,-0.633333,35.2,2,"state-based"
1574,1994,2.75,36.266667,2,"state-based"
5891,1994,0.166667,35.416667,6,"state-based"
2440,1994,3.017715,36.789885,7,"state-based"
2353,1994,6,36.75,5,"state-based"
1582,1994,-1.416667,34.666666,5,"state-based"
1497,1994,3,36.583333,5,"state-based"
3975,1994,3.050556,36.763056,4,"state-based"
4258,1994,2.416667,36.583333,5,"state-based"
3460,1994,3.166667,36.75,5,"state-based"
4877,1994,3,28,1,"state-based"
5250,1994,3.08794,36.710925,2,"state-based"
4411,1994,3.474819,36.758965,1,"state-based"
2018,1994,6.614722,36.365,2,"state-based"
4591,1994,1.967897,36.264055,1,"state-based"
4468,1994,3,36.08,2,"state-based"
4364,1994,-0.641667,35.691111,3,"state-based"
3110,1994,3.916667,36.25,2,"state-based"
5642,1994,3.474819,36.758965,2,"state-based"
4176,1994,3.050556,36.763056,20,"state-based"
5047,1994,3.050556,36.763056,19,"state-based"
2470,1994,8.316667,36.766667,18,"state-based"
4180,1994,6.178611,35.555278,24,"state-based"
4676,1994,0.166667,35.416667,1,"state-based"
4660,1994,1.25,36.25,2,"state-based"
4672,1994,2.190833,36.605,1,"state-based"
3979,1994,3.050556,36.763056,2,"state-based"
3931,1994,3.050556,36.763056,2,"state-based"
3813,1994,2.827699,36.470039,7,"state-based"
2691,1994,-1.315,34.878333,7,"state-based"
1586,1994,3,36.083333,7,"state-based"
1545,1994,2.416667,36.583333,1,"state-based"
5730,1994,4.333333,35.33333,7,"state-based"
5792,1994,6.614722,36.365,1,"state-based"
4791,1994,5.916667,35.5,40,"state-based"
1985,1994,3,28,1,"state-based"
2652,1994,3,28,41,"state-based"
5616,1994,2.827699,36.470039,0,"state-based"
5120,1994,2.827699,36.470039,3,"state-based"
6632,1994,3.050556,36.763056,5,"state-based"
5113,1994,3,36.583333,13,"state-based"
1939,1994,1.583333,34.916667,12,"state-based"
6673,1994,3,28,20,"state-based"
3093,1994,3,36.583333,3,"state-based"
3709,1994,2.416667,36.583333,3,"state-based"
2248,1994,5.916667,35.5,2,"state-based"
2486,1994,3.666667,36.75,3,"state-based"
2647,1994,3.166667,36.75,2,"state-based"
5034,1994,6,36.75,3,"state-based"
3881,1994,3,28,18,"state-based"
3174,1994,3,28,12,"state-based"
3121,1994,2.166667,36.166667,2,"state-based"
3094,1994,3.916667,36.25,2,"state-based"
5786,1994,1.25,36.25,2,"state-based"
6278,1994,6,36.75,2,"state-based"
5466,1994,3.087832,36.606366,1,"state-based"
3201,1994,6.8,33.483333,4,"state-based"
5070,1994,3,28,11,"state-based"
5793,1994,3.474819,36.758965,3,"state-based"
2914,1994,0.166667,35.416667,3,"state-based"
3951,1994,2.827699,36.470039,6,"state-based"
2485,1994,5.916667,35.5,2,"state-based"
1891,1994,3,28,24,"state-based"
3274,1994,3,28,4,"state-based"
2145,1994,3,28,0,"state-based"
2423,1994,3,28,19,"state-based"
4210,1994,3,36.583333,1,"state-based"
4501,1994,2.4475,36.589722,3,"state-based"
5624,1994,3.050556,36.763056,11,"state-based"
5482,1994,6.614722,36.365,8,"state-based"
1836,1994,3,28,13,"state-based"
5057,1994,3,28,18,"state-based"
5056,1994,3,28,0,"state-based"
4575,1994,3,28,13,"state-based"
5370,1994,5.766667,36.8,4,"state-based"
6607,1994,6.9,36.866667,3,"state-based"
1645,1994,3.050556,36.763056,3,"state-based"
2049,1994,4.374375,36.7519,14,"state-based"
2417,1994,3.166667,36.75,5,"state-based"
2500,1994,3.916667,36.916667,10,"state-based"
5738,1994,3.080998,36.541779,2,"state-based"
3388,1994,3.916667,36.25,1,"state-based"
2507,1994,7.637,35.9803,1,"state-based"
5016,1994,0.9827,35.7622,9,"state-based"
4560,1994,5.916667,35.5,1,"state-based"
6399,1994,-1.315,34.878333,10,"state-based"
6212,1994,5.916667,35.5,4,"state-based"
2991,1994,-1.416667,34.666666,5,"state-based"
4553,1994,3.666667,36.75,4,"state-based"
4421,1994,2.827699,36.470039,10,"state-based"
4286,1994,2.827699,36.470039,1,"state-based"
2878,1994,3.050556,36.763056,1,"state-based"
5232,1994,6.324,36.3975,2,"state-based"
3962,1994,3,28,6,"state-based"
4800,1994,-0.630846,35.189937,1,"state-based"
1976,1994,2.753926,36.264169,5,"state-based"
4758,1994,1.811111,35.607778,1,"state-based"
3984,1994,2.4475,36.589722,11,"state-based"
3887,1994,3.15,36.566667,3,"state-based"
3856,1994,3.717296,36.743276,9,"state-based"
2306,1994,0.14027,35.396644,7,"state-based"
1947,1994,3.7358,36.8117,2,"state-based"
4031,1994,5.916667,35.5,4,"state-based"
3037,1994,1.4961,35.1857,1,"state-based"
3436,1994,2.827699,36.470039,2,"state-based"
1598,1994,5.916667,35.5,3,"state-based"
2404,1994,5.916667,35.5,23,"state-based"
2149,1994,3,36.08,3,"state-based"
2616,1994,6.9,36.866667,2,"state-based"
5699,1994,2.666667,33.583333,1,"state-based"
4126,1994,3.666667,34.3333,5,"state-based"
4403,1994,6.178611,35.555278,2,"state-based"
6376,1994,-0.641667,35.691111,3,"state-based"
6456,1994,2.166667,36.166667,5,"state-based"
6423,1994,5.5,36.166667,3,"state-based"
5566,1994,-1.416667,34.666666,3,"state-based"
5541,1994,3.666667,36.75,3,"state-based"
2709,1994,3.916667,36.25,10,"state-based"
4891,1994,3.050556,36.763056,2,"state-based"
3765,1994,3.087832,36.606366,2,"state-based"
6251,1994,2.753926,36.264169,2,"state-based"
2951,1994,-1.315,34.878333,2,"state-based"
5822,1994,3.050556,36.763056,1,"state-based"
3303,1994,-0.5,35.666667,1,"state-based"
4356,1994,3.050556,36.763056,4,"state-based"
4914,1994,3.050556,36.763056,3,"state-based"
4879,1994,3.050556,36.763056,2,"state-based"
4010,1994,3,28,5,"state-based"
5839,1994,3.050556,36.763056,2,"state-based"
3369,1994,7.389748,36.362182,8,"state-based"
4365,1994,-0.5,35.666667,3,"state-based"
4655,1994,4.1825,35.214167,1,"state-based"
4530,1994,6.560992,37.007167,1,"state-based"
1714,1994,-0.641667,35.691111,2,"state-based"
6182,1994,2.416667,36.583333,2,"state-based"
2907,1994,6.614722,36.365,2,"state-based"
2923,1994,3.666667,36.75,4,"state-based"
3612,1994,6,36.75,3,"state-based"
4266,1994,3.166667,36.75,4,"state-based"
4760,1994,0.916667,35.75,4,"state-based"
3788,1994,6.909208,36.876174,20,"state-based"
3845,1994,-1.416667,34.666666,3,"state-based"
2677,1994,3,28,7,"state-based"
2611,1994,3.050556,36.763056,10,"state-based"
3752,1994,3.050556,36.763056,5,"state-based"
3277,1994,2.416667,36.583333,17,"state-based"
3738,1994,3.916667,36.25,2,"state-based"
4793,1994,5.5,36.166667,2,"state-based"
4348,1994,3.666667,36.75,2,"state-based"
4323,1994,3.166667,36.75,3,"state-based"
4566,1994,3,36.583333,2,"state-based"
4498,1994,0.916667,35.75,2,"state-based"
4108,1994,3,28,16,"state-based"
4238,1994,3,28,26,"state-based"
5175,1994,3.050556,36.763056,1,"state-based"
5403,1994,4.045914,36.711825,1,"state-based"
4977,1994,7.757222,36.9075,1,"state-based"
4538,1994,3,36.083333,10,"state-based"
5517,1994,7.083333,35.833333,35,"state-based"
2322,1994,1.337795,36.15787,1,"state-based"
4950,1994,3,28,6,"state-based"
3615,1994,3.066667,36.533333,13,"state-based"
4939,1994,5.409444,36.191389,1,"state-based"
4772,1994,5.766667,36.8,7,"state-based"
4077,1994,3.474819,36.758965,5,"state-based"
